,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
0,Rhodospirillum rubrum,rubrum_andrews1985,1,0,E. coli,,,,,14,0.7,,,,,,,,,,,,,,25,8.52,2,Alphaproteobacteria,Figure 3,Andrews 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6."
1,Rhodospirillum rubrum,rubrum_gutteridge,,0,,84,10,5.9,0.2,7.6,0.2350199874100792,,,,,,,,,,,,15,2,25,8.2,2,Alphaproteobacteria,Anaerobic assays,Gutteridge 1984,https://doi.org/10.1002/j.1460-2075.1984.tb02204.x,"Gutteridge S et al., A site-specific mutation within the active site of ribulose-1,5-bisphosphate carboxylase of Rhodospirillum rubrum. EMBO J. 1984 Dec 1; 3(12):2737-43."
2,Rhodobacter sphaeroides I,rhodopseudomonas_sphaeroides_FI_jordan81,1,0,False,36,3.14,,,62,4,840,110,,,,,,,,,,,,25,8.3,1,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Jordan 1981,https://doi.org/10.1038/291513a12,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
3,Rhodobacter sphaeroides II,rhodopseudomonas_sphaeroides_FII_jordan81,1,0,False,80,6.97,,,9,1,220,28.8,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Jordan 1981,https://doi.org/10.1038/291513a13,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
4,Rhodospirillum rubrum,rubrum_jordan81,1,0,False,89,7.76,,,15,1,406,53.1,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a14,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
5,Rhodospirillum rubrum,rubrum_kane,1,0,E. coli,,,,,12.3,0.1,,,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940449,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-461"
6,Rhodospirillum rubrum,rubrum_morell,1,0,E. coli,67,9,7.3,0.3,,,,,,,,,,,,,,20,3,25,7.8,2,Alphaproteobacteria,,Morell 1990,https://doi.org/10.1016/0014-5793(90)80879-N,"Morell MK, Kane HJ, Andrews TJ (1990) Carboxylterminal deletion mutants of ribulosebisphosphate carboxylase from Rhodospirillum rubrum. FEBS Lett 265:41–45."
7,Rhodobacter sphaeroides I,rhodopseudomonas_sphaeroides_FI_cajar,1,0,E. coli,73,6.36,5.2,0.305,,,,,,,,,,,,,,,,25,8,1,Alphaproteobacteria,"Uses a 2 pKa model, pK1 = 6.251 and pK2 = 10.329. rhodobacter sphaeroides = rhodopseudomonas sphaeroides. ",Mueller-Cajar (personal),,Oliver Mueller-Cajar personal communication
8,Rhodobacter sphaeroides I,rhodopseudomonas_sphaeroides_FI_savir,0,0,,36,3,,,62,4,840,100,,,,,,,,,,,,25,,1,Alphaproteobacteria,rhodobacter sphaeroides = rhodopseudomonas sphaeroides.,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
9,Rhodobacter sphaeroides II,rhodopseudomonas_sphaeroides_FII_savir,0,0,,80,5,,,9,1,220,26,,,,,,,,,,,,25,,2,Alphaproteobacteria,rhodobacter sphaeroides = rhodopseudomonas sphaeroides.,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
10,Rhodospirillum rubrum,rubrum_savir,0,0,,80,11,7.3,0.3,12.3,0.1,406,48,3.01,2.08,4.44,0.0911,0.00577,0.0103,0.00741,0.00577,0.0103,,,25,,2,Alphaproteobacteria,d13C from tcherkez,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
11,Methanococcoides burtonii,burtonii_coli_alonso,1,0,E. coli,130,4,2,0.1,1.18,0.05,2.5,0.3,0.0326,0.024,0.0419,0.0154,0.0113,0.015,0.013,0.0113,0.015,0.13,0.02,25,7,2_3,Archaea,,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. “Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers.” The Journal of Biological Chemistry 284 (49):33876–82."
12,Methanococcoides burtonii,burtonii_tobacco_wilson,1,0,Tobacco,56.9,1.8,0.6,0.1,1.3,0.1,11.2,1.4,0.0903,0.0548,0.136,0.0106,0.00527,0.0114,0.00813,0.00527,0.0114,4,0.5,25,7.2 or 8.0,2_3,Archaea,,Wilson 2016,,"Wilson, Robert H., Hernan Alonso, and Spencer M. Whitney. 2016. “Evolving Methanococcoides Burtonii Archaeal Rubisco for Improved Photosynthesis and Plant Growth.” Scientific Reports 6 (March):22284."
13,Thermococcus kodakaraensis,kodakarensis_yoshida,1,0,,52.3,6,0.25,0.0146,11,1,900,90,0.392,0.273,0.57,0.00477,0.000325,0.000609,0.000437,0.000325,0.000609,,,25,8.3,3,Archaea,"Reported KRuBP <0.5, moved here because this is not a real value",Yoshida 2007,,"Yoshida, Shosuke, Haruyuki Atomi, and Tadayuki Imanaka. 2007. “Engineering of a Type III Rubisco from a Hyperthermophilic Archaeon in Order to Enhance Catalytic Performance in Mesophilic Host Cells.” Applied and Environmental Microbiology 73 (19):6254–61."
14,Nymphaea alba,alba_galmes,1,0,False,11.2,0.4,2.4,0.1,,,438,43,,,,,,,,,,,,25,8,1,Basal angiosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
15,Thiobacillus denitrificans IA,denitrificans_FIA_hernandez,1,0,R. sphaeroides,138,5.1,1.9,0.111,42.7,1.6,1637,650,0.524,0.115,0.951,0.0138,0.000275,0.000375,0.000322,0.000275,0.000375,43,0.9,25,8,1,Betaproteobacteria,Points to read & tabita 1992 for methods. Probably carboxysomal. Not 100% on temp  (table 2 gives specificity factor of 46),Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M., and Tabita, F. R. (1996). Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J. Bacteriol. 178, 347–356."
16,Thiobacillus denitrificans II,denitrificans_FII_hernandez,1,0,R. sphaeroides,256,61,3.5,0.205,13.3,0.8,619,237,0.639,0.159,1.53,0.0137,0.000677,0.00201,0.00103,0.000677,0.00201,13.3,1.9,25,8,2,Betaproteobacteria,Almost certainly not carboxysomal. Not 100% on temp (table 2 gives specificity factor of 14),Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M., and Tabita, F. R. (1996). Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J. Bacteriol. 178, 347–356."
17,Atrichum undulatum,undulatum_galmes,1,0,False,19.2,0.1,3,0.2,,,806,100,,,,,,,,,,,,25,8,1,Bryophyte,"Methods refer to Parry J. Ag Sci 2007. Uses 14C bicarb, unclear how CO2 calculated",Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
18,Marchantia polymorpha,polymorpha_galmes,1,0,False,12.7,0.3,2.6,0.2,,,565,64,,,,,,,,,,,,25,8,1,Bryophyte,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
