,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
0,Rhodospirillum rubrum,rubrum_savir,0,0,,80,11,7.3,0.3,12.3,0.1,406,48,3.01,2.08,4.4,3.01,,0.091,0.071,0.126,0.0074,0.00576,0.0102,,,25,,2,Alphaproteobacteria,d13C from tcherkez,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
1,Setaria viridis,viridis_sharwood,1,0,False,18.1,0.6,5.9,0.5,72.7,0.2,619,86,2.76,1.9,3.73,2.8,,0.326,0.268,0.384,0.00448,0.00368,0.00528,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
2,Urochloa mosambicensis,mosambicensis_sharwood,1,0,False,14.8,0.4,5.7,0.7,82.5,1.3,464,79,2.14,1.31,3.13,2.2,,0.384,0.29,0.482,0.00466,0.0035,0.00585,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
3,Flaveria pringlei,pringlei_savir,0,0,,12,2.1,3.11,0.2,80.8,1.2,666,28,2.14,1.51,3.35,2.14,,0.26,0.186,0.4,0.00322,0.00231,0.00499,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
4,Urochloa panicoides,panicoides_sharwood,1,0,False,15.4,0.7,5.6,0.6,78.3,0.3,444,80,2.04,1.26,3.01,2.1,,0.362,0.284,0.449,0.00463,0.00363,0.00574,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
5,Cenchrus ciliaris,ciliaris_sharwood,1,0,False,19,0.7,6,0.8,69.9,3,470,52,2.11,1.42,2.97,2.1,,0.315,0.233,0.402,0.00451,0.00328,0.00586,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
6,Panicum monticola,monticola_sharwood,1,0,False,18.2,0.5,5.3,0.7,79.4,1.7,543,67,1.97,1.33,2.78,2,,0.292,0.215,0.371,0.00367,0.0027,0.00469,,,25,8.16,1,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
7,Spinacia oleracea,oleracea_savir,0,0,,12.1,0.8,3.2,0.09,79.8,0.5,574,19,1.9,1.64,2.24,1.9,,0.264,0.231,0.307,0.00331,0.0029,0.00386,,,25,,1,C3 plants,d13C from tcherkez,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
8,Amaranthus hybridus,hybridus_savir,0,0,,16,1.12,3.8,0.3,82,4,640,76,1.85,1.31,2.53,1.85,,0.237,0.192,0.293,0.0029,0.0023,0.00365,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
9,Panicum bisulcatum,bisulcatum_sharwood,1,0,False,7.8,0.3,2.6,0.4,87.7,1.5,416,67,1.56,0.922,2.34,1.6,,0.333,0.232,0.44,0.0038,0.00264,0.00502,,,25,8.16,1,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
