EC_number,Compound_Id(KEGG),Organism,KM,Stoich_coef,Direction,kcat,EC1,EC2,EC3,EC4,kcat/KM,kcat/kmax,Catalytic_group,order
3.1.4.16,C02353,Escherichia coli,17745,-1,-1,2.95,3,1,4,16,166.2440124,0.001340239,Phosphodiester,1
3.1.4.16,C06194,Escherichia coli,1600,-1,-1,2.95,3,1,4,16,1843.75,0.001340239,Phosphodiester,1
3.1.4.16,C02353,Fusarium culmorum,300,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C02354,Fusarium culmorum,600,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C02355,Fusarium culmorum,2000,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C06194,Fusarium culmorum,100,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C02353,Mycobacterium tuberculosis,1600,-1,-1,2.8,3,1,4,16,1750,0.001272091,Phosphodiester,1
3.1.4.16,C02353,Myxococcus xanthus,5.2,-1,-1,0.0006,3,1,4,16,115.3846154,2.73E-07,Phosphodiester,1
3.1.4.17,C00020,Myxococcus xanthus,1.5,1,1,0.004305,3,1,4,17,2870,1.96E-06,Phosphodiester,1
3.1.4.17,C00575,Arthrobacter sp.,6820,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Arthrobacter sp.,12820,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Bos taurus,12,-1,-1,617,3,1,4,17,51416666.67,0.280314388,Phosphodiester,1
3.1.4.17,C00942,Bos taurus,2.8,-1,-1,617,3,1,4,17,220357142.9,0.280314388,Phosphodiester,1
3.1.4.17,C00575,Dictyostelium discoideum,5,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Dictyostelium discoideum,0.2,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Drosophila melanogaster,19.5,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Drosophila melanogaster,10.65,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Homo sapiens,3.3,-1,-1,0.5,3,1,4,17,151515.1515,0.000227159,Phosphodiester,1
3.1.4.17,C00942,Homo sapiens,34,-1,-1,0.5,3,1,4,17,14705.88235,0.000227159,Phosphodiester,1
3.1.4.17,C00575,Mus musculus,107.5,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Mus musculus,65,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Myxococcus xanthus,5,-1,-1,0.000945,3,1,4,17,189,4.29E-07,Phosphodiester,1
3.1.4.17,C00942,Myxococcus xanthus,25,-1,-1,0.000945,3,1,4,17,37.8,4.29E-07,Phosphodiester,1
3.1.4.17,C00575,Saccharomyces cerevisiae,110,-1,-1,13.05,3,1,4,17,118636.3636,0.005928854,Phosphodiester,1
3.1.4.17,C00942,Saccharomyces cerevisiae,104.8,-1,-1,13.05,3,1,4,17,124522.9008,0.005928854,Phosphodiester,1
3.1.4.17,C00575,Sinorhizobium fredii,0.23,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.2,C00670,Escherichia coli,280,-1,-1,,3,1,4,2,,,Phosphodiester,1
3.1.4.2,C00670,Rattus sp.,350,-1,-1,,3,1,4,2,,,Phosphodiester,1
3.1.4.35,C00942,Bos taurus,40.8,-1,-1,0.55,3,1,4,35,13480.39216,0.000249875,Phosphodiester,1
3.1.4.35,C00942,Canis lupus,2,-1,-1,,3,1,4,35,,,Phosphodiester,1
